タイトル,あらすじ,ジャンル
映画「深夜食堂」,登場人物たちの心の葛藤が、時にユーモラスに、時に優しく丁寧に綴られ、人生の岐路に立った者たちに向けて温かな希望を投げかける。 ネオンきらめく繁華街の路地裏にある小さな食堂。夜も更けた頃に「めしや」と書かれた提灯に明かりが灯ることから、人は「深夜食堂」と呼ぶ。メニューは酒と豚汁定食だけだが、頼めば大抵の物なら作ってくれる。そんなマスターが出す懐かしい味を前に、客たちの悲喜こもごもな人生模様が交差する。「ビッグコミックオリジナル」(小学館)で連載中の安倍夜郎の大ヒット漫画を原作に深夜の放送ながら静かなブームを呼び、第3部まで続いている人気ドラマが待望の映画化。主演はドラマ版と同じく小林薫。客と絶妙な距離感を取る寡黙なマスター役を自然な佇まいで演じる。心も胃袋もやさしく満たす『深夜食堂』の味、たっぷりとご堪能あれ。,ドラマ
映画｢ROOKIES-卒業-｣【TBSオンデマンド】,【TBS Pictures】野球部の面々が3年に進級し､川藤(佐藤隆太)が二子玉川学園高校の教師に返り咲いた新学期｡ニコガク野球部にはメジャーリーグを目指すという横柄な赤星(山本裕典)と､平塚(桐谷健太)をヒーローとして崇める濱中(石田卓也)という2人の新入生がやって来た｡そんな中､不良生徒2人にからまれた赤星を庇い､キャプテン･御子柴(小出恵介)が骨折してしまう｡そんな中､ついに迎えた予選大会決勝の相手は､エース･川上(武田航平)をピッチャーに擁する笹崎高校｡笹崎高校の巧妙な作戦と川上のフォークボールを前に､ニコガクは大苦戦｡安仁屋(市原隼人)の闘志も空回りしてしまう｡そんな中､若菜(高岡蒼甫)に悲劇が･･･｡(C)STUDIO HITMAN/映画｢ROOKIES｣製作委員会,ドラマ
チア☆ダン　女子高生がチアダンスで全米制覇しちゃったホントの話,県立福井中央高校に入学した友永ひかり（広瀬すず）は、中学からの同級生でサッカー部の孝介（真剣佑）を応援したいためだけにチアダンス部へ入部する。しかし彼女を待ち受けていたのは、顧問の女教師・早乙女薫子（天海祐希）による、「目標は全米大会制覇！おでこ出し絶対！恋愛禁止！」という超厳しいスパルタ指導！！早々に周りが退部していく中、チームメイトで部長の彩乃（中条あやみ）の存在もあり何とかチアダンスを続けていく決意をするひかりだった。しかし、素人だらけのチームは、初めての大会で観客に笑われるほどの失敗をしでかす。チーム内での確執も深まり、チームの気持ちは完全にバラバラになってしまう。校長や教頭が廃部を決定する寸前、ひかりは校長室におしかけとんでもない宣言をする。「私たちアメリカで優勝します！」フツーの女子高生たちの夢への挑戦が今、始まる--。(C)2017 映画「チア☆ダン」製作委員会,ドラマ
二流小説家　シリアリスト,主人公は、売れない小説家・赤羽一兵。彼のもとにある日、連続殺人犯の死刑囚・呉井大悟から「告白本を書いて欲しい」という執筆依頼が舞い込む。「この告白本を書けば一流の小説家になれるかもしれない……」。欲望に駆られた赤羽は呉井に会いに行く。しかし、告白本の出版には条件があった。それは呉井を主人公にした小説を書くこと。しぶしぶ承諾した赤羽は、小説を執筆するために3人の女性の取材をはじめるが、その先々で殺人事件が起きる! しかも、その手口は12年前の呉井の手口をまったく同じものだった。刑務所にいる呉井に今回の事件の犯行は不可能。ということは、呉井ではない何者かの犯行なのか? 深まる謎。ミステリーファンを唸らせる、満足させる、極上ミステリー『二流小説家』の驚くべき結末とは……。,サスペンス
蛇にピアス,渋谷を徘徊する19歳の少女ルイは、クラブで知り合ったアマの蛇みたいに割れた舌(=スプリットタン)に心を奪われる。後日、アマに連れて行かれた妖しげな店で、全身に刺青を施し、顔じゅうにピアスのある店長のシバに、舌ピアスをあけてもらう。少しずつ穴を拡張しスプリットタンにするつもりだ。その日以来、彫り師のシバに強い憧れを抱いたルイは、自分にも最高の絵を刻みたいと思うようになる。(c)2008「蛇にピアス」フィルムパートナーズ,"ドラマ,ロマンス"
仮面ライダー平成ジェネレーションズ　Ｄｒ．パックマン対エグゼイド＆ゴーストｗｉｔｈレジェンドライダー,正体不明のゲームウイルス生命体“パックマン”襲来によって、未曾有の危機に陥った人類。恐ろしい勢いで感染が拡大する中、天空寺タケル＝仮面ライダーゴーストはウイルスに感染し、変身する能力を失ってしまう。仮面ライダーエグゼイド＝宝生永夢は、敵の正体とその感染源を突き止めるが、それは自身の運命をも左右する、ある“重大な真実”へと繋がっていたのだった！行く手を塞がれるエグゼイドとゴースト。この絶体絶命の危機から2人のライダーを、そして人類を救い出せるのは、レジェンドと呼ばれる仮面ライダーたち。タケルたちに襲いかかる新たな運命、歴代仮面ライダーたちの奇跡の集結、エグゼイドのテレビシリーズへと直結する秘密が、まさにこの物語の中で明かされる。（C）2016「エグゼイド＆ゴースト」製作委員会　（C）石森プロ・テレビ朝日・ADK・東映　（C）BANDAI NAMCO Entertainment Inc.,アクション
一週間フレンズ。,高校２年生の祐樹は、初めて会った日から惹かれていた同級生・香織に、思い切って「友達になって下さい」と声をかける。が、香織は必死で祐樹を拒む。実は彼女には“友達のことを一週間で忘れてしまう”という記憶障害があった。それでも香織のそばにいたいと願い、毎週月曜日、記憶がリセットされるたびに、香織に会いに行く祐樹。二人は交換日記を始めて、少しずつ距離を縮めていく。が、そんなある日、香織の過去を知るまゆと、転入生の九条が現れて―。（Ｃ）2017葉月抹茶/スクウェアエニックス・映画「一週間フレンズ。」製作委員会,"ドラマ,ロマンス"
ミュージアム,雨の日だけに発生する猟奇殺人事件。死体を見せることにこだわる犯人・カエル男は、自分をアーティストと呼び、犯行現場には必ず謎のメモを残す。連続する事件の関連性に気付いた刑事・沢村と部下の西野が、捜査を進めると、驚愕の次のターゲットが浮かび上がる。カエル男の罠にはまり、逆に追い詰められていく沢村。謎の“私刑”執行アーティスト・カエル男は一体誰なのか？その本当の目的とは？そして、沢村が絶望の密室（ミュージアム）で見たものとは…！？あなたは最悪のラストを期待する。※本編終了後特典映像あり Rating G (C) 円亮介/講談社 (C) 2016映画「ミュージアム」製作委員会,サスペンス
海街diary,まぶしい光に包まれた夏の朝、三姉妹に届いた父の訃報。 十五年前、父は女と出て行き、その後、母も再婚して家を去った。 三姉妹を育てた祖母もとうに亡くなり、広くて古い鎌倉の家には、彼女たちだけが残った。 両親へのわだかまりを抱えた、しっかり者の長女の幸と、そんな姉と何かとぶつかる次女の佳乃、マイぺースな三女の千佳。 三人は父の葬儀で、腹違いの妹すずと出会う。 頼るべき母も既に亡くし、それでも気丈に振る舞う、まだ中学生のすず。 そんな彼女の涙を見て、幸は、別れ際に「いっしょに暮さない？」と誘う。 そして、秋風とともに、すずが鎌倉へやって来る。 四人で始める新しい生活。 それぞれの複雑な想いが浮かび上がる――。(C)2015吉田秋生・小学館／フジテレビジョン　小学館　東宝　ギャガ,ドラマ
何者,朝井リョウが直木賞を受賞し、大きな話題を呼んだ原作の映画化作品。ひとつの部屋に集まった5人の男女。大学の演劇サークルに全力投球していた拓人。拓人がずっと前から片想いをしている瑞月。瑞月の元カレで、拓人とルームシェアをしている光太郎。拓人たちの部屋の上に住んでいる、瑞月の友達の理香。就活はしないと宣言する、理香と同棲中の隆良。理香の部屋を「就活対策本部」として定期的に集まる5人。それぞれが抱く思いが複雑に交錯し、徐々に人間関係が変化していく。「私、内定もらった…。」やがて「裏切り者」が現れたとき、これまで抑えられていた妬み、本音が露になっていく。人として誰が一番価値があるのか？ そして自分はいったい「何者」なのか？(C)2016映画「何者」製作委員会,ドラマ
映画『信長協奏曲　NOBUNAGA CONCERTO』,安土城の完成と天下統一を目前にしたサブローは、ふと手にした教科書で織田信長は間もなく死ぬ運命にあることを知る。その運命に戸惑い、苦悩するサブローだったが、帰蝶や家臣たちの力強い支えのもと、運命に抗い、この時代で生き抜くことを誓うのだった。そして、愛する帰蝶との結婚式を計画するサブロー。場所は京都・本能寺――。時を同じくしてサブローの周りでは不穏な企てが水面下で動き出していた。周囲から愛されるサブローに嫉妬心を抱く光秀。積年の恨みを持ち、信長暗殺の機を伺う秀吉。果たしてサブローは織田信長の歴史を変え、彼の望む平和な国を築くことができるのか！？1582年、本能寺で彼を待ち受けるものとは――！？(C)石井あゆみ／小学館 (C)2016 フジテレビジョン　小学館　東宝　FNS27社,"ドラマ,軍隊・戦争"
バクマン。,『DEATH NOTE』の原作者・大場つぐみ＆小畑健による大人気コミックを、「モテキ」の大根仁監督が実写映画化。高い絵の才能を持つ高校生の真城最高（サイコー）は、同じクラスの秀才・高木秋人（シュージン）から一緒に漫画家になろうと誘われる。プロの漫画家だった叔父を過労で亡くした過去を持つ最高は漫画を描くことを拒否するが、想いを寄せる声優志望のクラスメイト・亜豆美保（アズキ）と交わした約束をきっかけに漫画家を目指すことに。週刊少年ジャンプでの連載を目標に漫画づくりに励む最高と秋人は、編集者・服部に見出され漫画家としての第一歩を踏み出す。しかし、そんな2人の前に同年代の天才漫画家・新妻エイジが現われる。(C)2015 映画「バクマン。」製作委員会　(C)大場つぐみ・小畑健／集英社,ドラマ
火宅の人,桂一雄には、先妻の子をはじめ、日本脳炎で言葉と手足が麻痺したままの次郎を含め５人の子供と妻ヨリ子との家庭があった。妻は次郎のことで、怪しい宗教にすがるようになっていた。昭和31年夏、一雄はとうとう新劇女優･恵子との同棲に踏み切る。恵子は８年前に一雄を訪ねてきて以来、女給をしながら舞台に立つかたわら、一雄の原稿の清書を手伝っていた。転々流浪、一雄は若々しい恵子との情事のとりこになっていた。その挙句、恵子は妊娠し堕胎。二人の生活にはどこか負い目がつきまとっていた。恵子との大喧嘩の後、一雄はアテのない旅に出る。そこで、自分に似た悲しいまでに孤独な魂をもった不思議な島の女･葉子と知り合い、束の間のやすらぎを得るのだった。しかし、久々に東京に戻った一雄を待っていたのは、次郎の死と恵子との別れであった･･･。（C)東映,ドラマ
新宿スワンⅡ,"スカウト会社・新宿バーストのエース格となった白鳥龍彦は,勢力拡大を目論む社長・山城の命により,幹部の関玄介と共に横浜へと送り込まれる。しかしそこは,滝マサキが支配する難攻不落の王国だった。早々に手荒い洗礼を受ける龍彦たち。警察やヤクザとも裏取引をする滝マサキの謀略によって窮地に陥った新宿バーストは,龍彦を破門することで事態を回避しようとするが・・・。「オレは歌舞伎町の番犬だ。この街守るためだったら何でもすんだよ!」新宿と横浜は全面戦争へと突入。龍彦は逆襲の狼煙をあげる！(Ｃ)2017「新宿スワンⅡ」製作委員会","ドラマ,アクション"
ワンダフルライフ,月曜日、霧に包まれた古い建物に吸い込まれていく２２人の死者たち。彼らはこの施設で天国へ行くまでの７日間を過ごすことになっているのだ。そこで待ち受けていた職員からこういわれる。「あなたの人生の中から大切な思い出をひとつだけ選んで下さい。いつを選びますか？」選ばれた思い出は職員たちの手で撮影され、最終日には上映会が開かれるという。　職員の望月、川嶋、杉江、しおりたちは分担して死者たちから思い出を聞きだし、撮影のための準備を進めていく。それが彼らのここでの仕事だ。死者たちはそれぞれに大切な思い出を選択していく。だが望月の担当する渡辺だけは、なかなか思い出を選べずにいた。悩む渡辺は、自分の７０年の人生が録画されたビデオテープを見る。そこに映し出された新婚時代の渡辺の妻、その映像におもわず目を奪われる望月。この夜を境に、望月、しおり、渡辺、それぞれの感情は大きく揺れ動き始める・・・。,ドラマ
ＣＵＴＩＥ　ＨＯＮＥＹ　－ＴＥＡＲＳ－,AIに支配された漆黒の世界 ― 。街は富裕層の暮らす上層階と貧民層が暮らす下層階とに分けられていた。下層の人々は、快適な生活を維持する為に垂れ流される上層階からの汚染物質が生み出す有害な雨の中で生活していた。そんなある時、上層階から1体の美しいアンドロイド・如月瞳が落下してくる。彼女は、生みの親である如月博士の実の娘の記憶を移植された感情を持ったアンドロイドであった。下層階で生まれ育ったジャーナリストの早見青児との出会いがきっかけとなり運命の歯車が動き始める。向かうは世界を支配する感情を持たない新型アンドロイド・ジル。人々を守るために如月が下した衝撃の決意とは……。(C)2016「CUTIE HONEY -TEARS-」製作委員会,"ドラマ,SF"
トリック劇場版 ラストステージ,「トリック」シリーズ14年間の集大成として最初で最後の海外ロケを敢行し、超豪華キャスト陣が集結した完結篇。ある日、天才物理学者・上田次郎は村上商事の加賀美慎一から、海外の秘境にあるレアアース採掘のために力を貸して欲しいという依頼を受ける。採掘権は獲得したのだが、その地域に住む部族が立ち退きに応じない。彼らが信奉する呪術師が持つ不思議な力、未来を予知したり人を呪い殺したりするトリックを見破るため、上田は自称超売れっ子天才美人マジシャン・山田奈緒子の力を借りることに。,サスペンス
ビー・バップ・ハイスクール　高校与太郎行進曲,今回は、いなせな順子、敵対する菊永らレギュラー陣に加え、マブい娘からいい女にかけちゃ日本一、他に目をみはる奴はいない北高番長の前川新吾や、天下無敵の偏差値番長、そして無期停学のアブネエ奴らが、ぞろぞろ登場する。(C) 東映　(C)きうちかずひろ／講談社 原作／きうちかずひろ 「BE-BOP-HIGHSCHOOL」（講談社刊）,ドラマ
呪怨 (ビデオオリジナル版),「リング」シリーズの高橋洋が「女優霊」「呪死霊」に次いで贈る究極の恐怖体験！【呪怨】とは「つよい怨みを抱いて死んだモノの呪い。それは、死んだモノが生前に接していた場所に蓄積され“業”となり、その呪いに触れたモノは命を失い、新たなる呪いが生まれる。」……呪われた家から溢れ出す、九の連続した死。(C) [人情]（Ｃ）東映,"アクション,ホラー"
俺は、君のためにこそ死ににいく,昭和19年秋、太平洋戦争で不利な戦況に陥っていた日本軍は、戦闘機に250キロの爆弾を搭載して敵艦に体当たりする特別攻撃隊を編成することとなった。マニラを陥落させた米軍は昭和20年春、沖縄に上陸。鹿児島県の知覧飛行場は沖縄を断固死守する為、439名もの若者たちが飛び立っていくことになった。軍指定の冨屋食堂を構え、若き飛行兵たちから母のように慕われていた鳥濱トメは、二度と帰らない彼らを引き止めることもできず、複雑な想いを胸に秘めながら、慈愛の心で常に彼らを見守り続ける・・・,軍隊・戦争
残穢【ざんえ】―住んではいけない部屋―,小説家である「私」のもとに、女子大生の久保さんという読者から、1通の手紙が届く。「今住んでいる部屋で、奇妙な“音”がするんです」好奇心を抑えられず、調査を開始する「私」と久保さん。すると、そのマンションの過去の住人たちが、引っ越し先で、自殺や心中、殺人など、数々の事件を引き起こしていた事実が浮かび上がる。彼らはなぜ、“音”のするその「部屋」ではなく、別々の「場所」で、不幸な末路をたどったのか。「私」と久保さんは、作家の平岡芳明、心霊マニアの青年・三澤徹夫、そして「私」の夫・直人らの協力を得て、ついに数十年の時を経た、壮大なる戦慄の真相に辿り着く。だがそれは、新たなる事件の序章に過ぎなかった―。すべての事件をつなぐ【穢れ】の正体とは?予定調和を許さない驚愕のラストまで、目が離せない。(C)2016「残穢-住んではいけない部屋-」製作委員会,サスペンス
EVIL IDOL SONG,藤崎佳奈はグラビアをやりながらも、シンガーソングライターとしても活動する売れないアイドル。プロダクションは歌手としては売れない彼女を業界のプロデューサーに枕営業をさせようとしている。そして彼女は日々のストレスが原因なのか、黒い影につきまとわれる恐怖に怯えていた。次第に精神バランスを崩していく佳奈。そんなある日、佳奈に一つのメロディが浮かぶ。それは聴いた者を殺す事のできる禁断のメロディだった・・・！そして佳奈が発する歌声の刃は身近な人に向けられていく！(c)2016キングレコード,ホラー
勝手にふるえてろ,"24歳のOLヨシカは中学の同級生""イチ""へ10年間片思い中!過去のイチとの思い出を召喚したり､趣味である絶滅した動物について夜通し調べたり､博物館からアンモナイトを払い下げてもらったりと､１人忙しい毎日｡そんなヨシカの前へ会社の同期で熱烈に愛してくれる""リアル恋愛""の彼氏""ニ""が突如現れた!!「人生初告られた!」とテンションがあがるも､いまいちニとの関係に乗り切れないヨシカ｡""脳内片思い""と""リアル恋愛""の２人の彼氏､理想と現実､どちらも欲しいし､どっちも欲しくない…恋愛に臆病で､片思い経験しかないヨシカが､もがき､苦しみながら本当の自分を解き放つ!!(Ｃ) 2017 映画「勝手にふるえてろ」製作委員会","ドラマ,コメディー,ロマンス"
LIAR GAME REBORN -再生-,ファイナルステージから2年――すべてが終わったかにみえたライアーゲーム。しかし、謎の復活を遂げたライアーゲーム事務局が最大の復讐劇を仕掛ける！ターゲットは、元天才詐欺師・秋山深一（松田翔太）。今回のゲームは総額20億円を賭けて、プレイヤー20名が争う、究極の“イス取りゲーム”。秋山潰しを目論む、新たなプレイヤー、新たな事務局員。そしてすべてを陰で操る黒幕――騙しあうのか！？それとも助け合うのか！？極限の心理戦がいま始まる！！(C)2012 フジテレビジョン／集英社／東宝／FNS27社,サスペンス
ルームメイト,女の素顔は恐ろしい。もしかしたら、あなたが大好きなその人こそが、一番怖い人かもしれない…。美しいほどに恐ろしい戦慄の物語が始まる！！,サスペンス
青空エール,吹奏楽の名門・白翔高校に入学したトランペット初心者の小野つばさ。全国大会を目指すレベルの高い練習についていけず、何度も挫折しそうになる。そんなつばさを勇気づけてくれる、クラスメートで野球部員の山田大介。お互い夢に向かって励まし合うふたりは、ある「約束」をかわす。いつの間にかつばさには、大介へのほのかな想いが芽生えていた。1年生の夏、地区予選の決勝まで勝ち進んだ野球部を吹奏楽部が応援。ところが途中出場した大介のミスで敗退。グラウンドで立ち尽くす大介のために、つばさは一人でトランペットを吹いてしまい、謹慎処分となる。心配して訪ねて来た大介への想いを抑えきれずにつばさは大介に告白するが、フラれてしまう。大介は、仲間の夢を潰してしまった自分が許せないでいた。ふたりは“両片想い”のままそれぞれの夢を追いかけ、そして最後の夏が来る―。(C)2016 映画「青空エール」製作委員会 (C)河原和音／集英社,"ドラマ,ロマンス"
百円の恋,斎藤一子（安藤サクラ）は32歳にもなって、実家に引きこもり、自堕落な生活を送っていた。ある日、離婚して出戻り中の妹の二三子と大ゲンカになり、一子が家を出ることに。仕方なく、100円ショップの深夜労働を始めるが、そこは、様々な問題を抱える、個性豊かな底辺の人間たちの巣窟だった。一子の唯一の楽しみは、近くのボクシングジムで練習をする一人の中年ボクサー・狩野（新井浩文）を見ることだった。ある日、100円ショップに来た狩野からデートに誘われた一子は、初めてボクシングの試合を見る。それは狩野の引退試合だった。殴り合い、肩を叩き合う、ボクシングの試合に一子は強い羨望を抱き、自らもボクシングを始める。一方、引退試合で負けた狩野は自暴自棄になり、深夜の100円ショップに転がり込んでくる。そんな狩野を介抱するうちに体を重ねるようになり、二人の生活が始まるが・・・。(C)2014 東映ビデオ,"ドラマ,ロマンス"
空気人形,古びたアパートで、持ち主である秀雄と暮らす空気人形――空っぽな、誰かの「代用品」。ある朝、本来持ってはいけない「心」を持ってしまう。 秀雄が仕事に出かけると、洋服を着て靴を履いて、街へと歩き出す。 初めて見る外の世界で、いろいろな人間とすれ違い、つながっていく空気人形。ある日、レンタルビデオ店で働く純一と出会い、その店でアルバイトをすることに。 密かに純一に想いを寄せる空気人形だったが、 彼の心の中にどこか自分と同じ空虚感を感じてしまう――。（C)2009 業田良家，小学館，『空気人形』製作委員会,ロマンス
凶悪,史上最悪の凶悪事件。その真相とは? ある日、雑誌『明朝24』の編集部に一通の手紙が届いた。それは獄中の死刑囚 (ピエール瀧)から届いた、まだ白日のもとにさらされていない殺人事件について の告発だった。彼は判決を受けた事件とはまた別に3件の殺人事件に関与してお り、その事件の首謀者は“先生”と呼ばれる人物(リリー・フランキー)であるこ と、“先生”はまだ捕まっていないことを訴える死刑囚。闇に隠れている凶悪事件 の告発に慄いた『明朝24』の記者・藤井(山田孝之)は、彼の証言の裏付けを取る うちに事件にのめり込んでいく……。(c)2013「凶悪」製作委員会　原作 新潮45編集部編『凶悪 一ある死刑囚の告発一』(新潮文庫刊)　企画協力 新潮社,サスペンス
ステキな金縛り,失敗続きで後がない弁護士エミが担当したのは、とある殺人事件。被告人は無実を主張、完璧なアリバイがあるという。なんと事件当夜、旅館の一室で金縛りに遭っていたのだ。無実を証明できるのは、一晩中彼の上にのし掛かっていた、落ち武者の幽霊だけ。エミはその幽霊・六兵衛を証人として法廷に召喚させる。しかし、この六兵衛、すべての人に姿が見えるとは限らなかった。しかもエミの前には、一切の超常現象を信じない、敏腕カタブツ検事・小佐野が立ちはだかり―。 人生のどん詰まりに立たされたダメダメ弁護士と、421年前に無念の死を遂げた落ち武者の間に生まれた奇妙な友情。果たして、彼らは、真実を導き出す事が出来るのか!? 今、全世界注目の裁判が、幕を開ける――!!!(C)2011 フジテレビ　東宝,コメディー
四月は君の嘘,完全無欠、正確無比、ヒューマンメトロノームと称された天才ピアニスト・有馬公生（山﨑賢人）は、母の死を境にピアノが弾けなくなってしまう。高校2年生となった4月のある日、公生は幼馴染の澤部椿（石井杏奈）と渡亮太（中川大志）に誘われ、ヴァイオリニスト・宮園かをり（広瀬すず）と出会う。勝気で、自由奔放、まるで空に浮かぶ雲のように掴みどころのない性格―そんなかをりの自由で豊かで楽しげな演奏に惹かれていく公生。「友人Ａ君。君を私の伴奏者に任命します」かをりの強引な誘いをきっかけに公生はピアノと“母との思い出”に再び向き合い始める。しかしそんな中、公生はある時彼女の秘密を知ってしまう…。いったい彼女の秘密とは―。(C)2016 フジテレビジョン　講談社　東宝　(c)新川直司／講談社,"ドラマ,ロマンス"
半落ち,私は、最愛の妻を殺しました。男は自首までの、空白の二日間に何をしていたのか。妻が遺した新聞記事。男はなぜ、あと一年だけ生きようとしているのか。誰にも裁けない真実。命の意味を問いかける。衝撃と慟哭のベストセラーミステリー大作「半落ち」。横山秀夫文学の最高峰、初の完全映画化。,ドラマ
炎神戦隊ゴーオンジャー　１０ ＹＥＡＲＳ ＧＲＡＮＤＰＲＩＸ,ガイアークとの激闘を制して10年。防衛大臣・野泉の“鎖国バリア”により、ヒューマンワールドにはかつてない平和が訪れていた。だがゴーオンジャーは炎神たちとの繋がりを断たれ、さらに“戦隊活動禁止法”により、テロリストに認定されてしまう…！そんな折、彼らの前にベアールVの炎神キャストを持った謎の少年・走児が現れる。特別警察に追われていた彼を救出した走輔たち。しかしそこへ立ちはだかったのは、なんと、ゴーオンジャーと決別し、政府の広報官となった早輝だった！世界を巻き込む大事件を前に、ゴーオンジャーの運命はいかに！？（C）2018東映ビデオ・東映,アクション
テラフォーマーズ,21世紀、人口爆発を迎えた人類が選択した火星移住計画。人類はコケと“ある生物”を送ることで火星を地球化させようとした。それから500年。計画の仕上げのために火星へ送り込まれた隊員15人のミッションは、その生物の駆除。ところが、“ある生物”は人型に異常進化した凶暴な驚愕生物へと姿を変え、隊員たちに次々と襲いかかる。絶体絶命な状況のなか、彼らの身体に秘策が仕込まれていたことが明かされる。昆虫のDNAによって虫の姿に“変異”し、超人的なパワーを発揮できるのだ。ついに人類対テラフォーマーの壮絶な戦いが始まる！だが、その裏で、もうひとつの陰謀が着々と進んでいた─。※本編終了後特典映像あり Rating G (C) 貴家悠・橘賢一／集英社 (C) 2016 映画「テラフォーマーズ」製作委員会,アクション
二重生活,大学院で哲学を学ぶ平凡な学生、珠。同棲中の恋人卓也との日々は、穏やかなものだった。ところがそんな毎日は、担当教授から修士論文の題材に“哲学的尾行”の実践を持ちかけられたことで一変する。それは、無作為に選んだ対象を追ういわば〝理由なき尾行″。半信半疑ではじめた、隣人、石坂への尾行だったが、彼の秘密が明らかになっていくにつれ、珠は異常なほどの胸の高鳴りを感じ、やがてその禁断の行為にのめりこんでいく-。＜映画作家＞(Ｃ) 2015「二重生活」フィルムパートナーズ,ドラマ
炎神戦隊ゴーオンジャー　１０ ＹＥＡＲＳ ＧＲＡＮＤＰＲＩＸ,ガイアークとの激闘を制して10年。防衛大臣・野泉の“鎖国バリア”により、ヒューマンワールドにはかつてない平和が訪れていた。だがゴーオンジャーは炎神たちとの繋がりを断たれ、さらに“戦隊活動禁止法”により、テロリストに認定されてしまう…！そんな折、彼らの前にベアールVの炎神キャストを持った謎の少年・走児が現れる。特別警察に追われていた彼を救出した走輔たち。しかしそこへ立ちはだかったのは、なんと、ゴーオンジャーと決別し、政府の広報官となった早輝だった！世界を巻き込む大事件を前に、ゴーオンジャーの運命はいかに！？（C）2018東映ビデオ・東映,アクション
極道の妻たちⅡ,大阪・港南市にシマを持つ重宗組の四代目組長・孝明は、下手な博打と女にうつつを抜かす道楽者。実際に組を仕切るのは妻の遊紀だった。そんな折、関西新国際空港の工事が始まり、重宗組と広域指定暴力団・萬代組との利権競争が激化。萬代組は、落ち目の重宗組を一気に潰そうというハラである。第一の犠牲者として、重宗組組員・牧村が殺された。時を同じくして、孝明が愛人に撃たれて入院。苦境に立たされる遊紀は、萬代組五代目総長と目される萬代組系・磐城組組長に、重宗組の譲渡を迫られる。否応なくヤクザ社会の争いに巻き込まれていく遊紀。だが夫に代わって組を守るため、気丈にならざるを得ない彼女は、やがて、一世一代の大勝負に出る！(C)東映,ドラマ
あさひなぐ,春、元美術部で運動音痴の主人公・東島旭（西野七瀬）は、新しい自分になることを夢見て、二ツ坂高校に入学する。しかし、そこで、1つ上の先輩でなぎなた部の宮路真春（白石麻衣）と出会い、その強さに憧れ、“なぎなた”をはじめる決意をする。入部したなぎなた部で、同級生の八十村将子（桜井玲香）、紺野さくら（ 松村沙友理）、2年生の野上えり（伊藤万理華）、大倉文乃（富田望生）、そして宮路真春らと共に部活動をスタートしたが、“練習は楽で運動神経がなくても大丈夫”、そんな誘い文句とは真逆でなぎなたの稽古は過酷そのもの！やがて3年生にとって最後となる夏のインターハイ予選を迎える。決勝まで順調に勝ち進んだ二ツ坂高校だったが、ダークホースの國陵高校に敗れてしまう。(Ｃ)2017 映画「あさひなぐ」製作委員会 (Ｃ)2011 こざき亜衣／小学館,ドラマ
劇場版　仮面ライダーエグゼイド　トゥルー・エンディング,仮面ライダーエグゼイド、完結。現実の世界を滅ぼし、ＶＲ≪仮想現実≫空間での支配を企む忍者軍団が現れる。絶望から解放される“永遠の天国”を創るために。「消えゆく小さな命」「夢の大運動会」「バイオテロ」「幻夢ＶＲ」「最強のラスボス」―　永夢たちは、次々と襲いくる衝撃のなか、果たして運命を変えることができるのか。“医療”と“ゲーム”―異色のモチーフの仮面ライダーは、この映画で真のエンディングを迎える。そして、劇中に散りばめられた多くの謎は、ＴＶシリーズの物語と密接に結びついている。あなたは、すべてを解き明かせるだろうか？（C）2017劇場版「エグゼイド・キュウレンジャー」製作委員会　（C）石森プロ・テレビ朝日・ADK・東映,アクション
トリック劇場版,2000年に深夜ドラマでスタートした国民的人気TVシリーズ「トリック」の劇場版第1弾。自称売れっ子天才奇術師の奈緒子は、村人たちの不安を取り除くため神を演じてほしいと依頼を受ける。だが村で奈緒子を待っていたのは、何でも実体化する男、足の裏に目を持つ男、確率を支配する男・・・。彼らは皆、自分こそが神であると称していた。次々と起こる不可思議な現象。追い詰められる奈緒子に、天才物理学者・上田、矢部刑事、そして奈緒子の母里見も加わり、事件は思わぬ方向へ。神は実在するのか？それとも全てトリックなのか！？,サスペンス
ＢＡＢＹ　ＢＡＢＹ　ＢＡＢＹ！,少子化傾向に歯止めのかからない日本。子供は持たずにキャリアに生きるのだと決意した女性がここにも一人。大手出版社に勤める佐々木陽子（観月ありさ）である。そんな陽子に新雑誌の編集長就任のチャンスが訪れる。ところが…なんと！妊娠発覚。恐る恐る訪れた産婦人科で、世間知らずの10代カップル、不妊治療中の中年夫婦、深夜密かに訪れる謎のセレブモデルなど、様々な事情を抱えた人々と出会う。今どき4人目の子供を産もうとしている自称“ベテラン妊婦”の大野春江（松下由樹）は、戸惑う陽子の良き相談相手になる。キャリアを選ぶか？子供をとるか？究極の選択を突き付けられた陽子。出来ちゃった父親と思わしき（？）さすらいの貧乏カメラマン工藤哲也（谷原章介）もベトナムから急遽帰国し、事態は大騒動に発展する！（Ｃ）２００９「ＢＡＢＹ　ＢＡＢＹ　ＢＡＢＹ！」製作委員会,"アクション,コメディー"
