タイトル,あらすじ,ジャンル
彼女と彼女の猫 －Everything Flows－ 完全版,アニメーション監督･新海誠の原点とも言える珠玉の作品「彼女と彼女の猫」が、俊英スタッフ陣の手によって新たな姿でよみがえる。ある夏の一番暑い日、彼女と、彼女の飼い猫である“僕”の暮らしが始まった。いつも頑張っている彼女にとって、“僕”と過ごす時間は、とても大切なものだった。しかし、いろいろなことがうまくいかず、彼女は次第に傷つき、立ち止まってしまいそうになる。それでも彼女は、背筋を伸ばし、今日も扉を開けて外の世界へと踏み出していく。そんな大好きな彼女のことを、“僕”はいつまでも見守っていたいと思っていた。,"アニメ,ヒューマンドラマ"
映画 それいけ! アンパンマン つみき城のひみつ,ばいきんまんは伝説のつみきロボ･ウッドラーを手に入れるため、キュービクルと名乗り、ブロック王子をつみき城から追い出してしまった。しかも、隣りに浮かぶおりがみ島も攻撃しようとしたからさあ大変。これに立ち向かうのは、もちろん、みんなのアンパンマンだ!,"キッズ,アニメ,ファミリー"
沈黙の艦隊,日米共謀により極秘裏に建造された日本初の原子力潜水艦「シーバット」。しかし、シーバットは試験航海中に海江田四郎艦長指揮の下、突如反乱逃亡。米軍はシーバット撃沈を決定する。追撃してきた米海軍の前に出現したシーバットは、全世界に向けて独立国「やまと」を宣言、米艦隊の包囲網を突破し、同盟締結のため日本へ向かった。苦悩する日本政府は、「やまと」を護衛するために海上自衛隊護衛艦隊の出動を決定。日米は一触即発の状態に入る。,"アニメ,戦争"
しまじろうと おおきなき,ある日、不思議な木の夢をみたはなちゃん。その木はなんだかくるしそう。もの知りのガオガオさんの話ではそれは霧が島にある、雲よりも高い「マザーウッド」という大きな木。しまじろうたちはガオガオさんのきぼう号に乗って霧が島に向います。そこでマザーウッドの木に住むふしぎな人たちに出会い、マザーウッドを助けに来たことを告げます。そんなとき、いじわるなクモのきょうだいにはなちゃんがさらわれてしまいました。果たして、しまじろうたちは無事にはなちゃんを助けることができるのでしょうか?,"キッズ,アニメ,ファミリー"
しまじろうと にじのオアシス,ぼくのいちばんのオアシスは、おかあさんだ。ある日、砂漠にたどりついたしまじろうたち。そこで出会った女の子「ココ」は、はぐれてしまったお母さんを探していました。しまじろうたちも力を合わせ、ココのお母さんを探す旅に出るのですが、果たして…。友情、親子の愛を描いたおはなし!,"キッズ,アニメ,ファミリー"
映画かいけつゾロリ ZZ (ダブルゼット) のひみつ,朝一番にドーナツ屋さんに並ぶため、“目覚まし時計”型のゾロリ庵で寝ていたゾロリとイシシ&ノシシ。3人はひょんなことから異空間に吸い込まれてしまった! 行きついた先は見知らぬ町。そこで出会ったすてきなレディにゾロリが恋心を抱いたのもつかの間、「ゾロリーヌ」と名乗った彼女は、なんと若き日のゾロリママだった! ゾロリたちは過去にタイムスリップしてしまったのだ!! 突然あらわれた謎のかいじゅうに飲み込まれてしまったゾロリーヌを取り戻すため、宝探しから帰ってきたトレジャーハンターのゾロンド･ロンとともに奮闘するゾロリたち。はたしてゾロリたちは無事、ゾロリーヌを助けることができるのか? そして「ZZ (ダブルゼット)」マークにかくされたひみつとは? かいけつゾロリ誕生のひみつが、今、ここに明かされる!!,"キッズ,アニメ,ファミリー"
レゴ® ムービー,ちっちゃな手で、でっかい夢を守り抜け! 世界一カラフルなLEGO (R) ムービーの世界へようこそ! エメットは、どこにでもいるフツーの青年。なのに、なぜか伝説のヒーローに間違われ、レゴ (R) ワールドを支配するおしごと大王から、世界を救わなければならないハメに! でも、本人はヒーローの覚悟なんてゼロ。世界の終わりまであと3日…。どうするエメット、どうなるレゴ (R) ワールド－!? ブロックさえあれば、どんなものでも作り出せる! それがレゴ (R) ワールド。高層ビルが建ち並ぶ大都市、最新型の飛行機や蒸気機関車、山々がそびえ立つ大自然から宇宙まで、どんな夢だって、自分の手で実現可能だ。そんな世界に、大興奮のシークレットキャラが次々と登場、大騒動を繰り広げる。さあ、飛び出そう!,"アニメ,コメディ,キッズ"
星を追う子ども,ある日、少女アスナは、地下世界アガルタから来たという少年シュンに出会う。二人は心を通わせるも、少年は突然姿を消してしまう。「もう一度あの人に会いたい」そう願うアスナの前にシュンと瓜二つの少年シンと、アガルタを探す教師モリサキが現れる。三人はそれぞれの想いを胸に、伝説の地へ旅に出る…。,"アニメ,アドベンチャー,キッズ"
ティム･バートンのコープスブライド,19世紀ヨーロッパのとある村。結婚を控えた気弱な若者ビクターが、ふとしたことから死体の花嫁 (コープスブライド) に結婚の誓いを立ててしまい、死者の世界へと連れ去られる。ティム･バートン監督によるストップモーション･アニメーション。盟友ジョニー･デップが主人公の声を担当。,"アニメ,ファンタジー,恋愛"
アナスタシア,宮殿で幸せな日々を送っていた少女アナスタシア。しかし邪悪な魔法使いラスプーチンが皇帝一家にかけた呪いによりロシア革命が勃発。混乱の中アナスタシアはひとり残されてしまう…。華麗なパリの社交界を舞台に、繊細で色鮮やかなアニメーションで贈る本格的ミュージカル･ファンタジー!,"アニメ,キッズ,ファンタジー"
ガールズ&パンツァー 劇場版,学校の存続を懸けた第63回戦車道全国高校生大会を優勝で終え、平穏な日常が戻ってきた大洗女子学園。ある日、大洗町でエキシビションマッチが開催されることに。大洗女子学園と知波単学園の混成チームと対戦するのは、聖グロリアーナ女学院とプラウダ高校の混成チーム。今やすっかり大洗町の人気者となった大洗女子学園戦車道チームに、町民から熱い声援が送られた。戦いを通じて友情が芽生えた選手たち。試合が終われば一緒に温泉に浸かり、お喋りに華が咲く。そんな時、生徒会長の角谷杏が「急用」で学園艦に呼び戻される。いぶかしがる大洗女子のメンバーたち。果たして「急用」とは…? 大洗女子学園、決断の時―。新たな試合 (たたかい) が始まる!,"アニメ,アクション,青春"
雲のむこう、約束の場所,南北に分断された日本。北海道に建設された謎の「塔」まで飛ぼうと約束したヒロキとタクヤ。それから三年後、ヒロキたちは憧れていた少女･サユリが眠り続けていることを知る。彼女を救おうと決意した二人は、思いもかけず「塔」とこの世界の秘密に近づいていく…。はたして、彼らは約束の場所に立つことができるのか!?,"アニメ,SF,青春"
グリザイア：ファントムトリガー THE ANIMATION,“国の組織CIRS (サーズ)”によって新たに作られた、特殊技能訓練校「美浜学園」…様々な理由で行き場を失くした少女たちに与えられたのは、銃と実弾。拳銃を使用するレナ、狙撃を得意とするトーカ、爆弾と情報処理のクリス、諜報活動担当の忍者ムラサキ。彼女たちは、日々、SORD (ソード) のメンバーとして、警察や自衛隊には解決できない事件にあたり、危険な活動を繰り返す。,"アニメ,サスペンス／ミステリー"
劇場総集編3部作 コードギアス 反逆のルルーシュ,母を何者かに殺され、父である神聖ブリタニア帝国皇帝に国を追われた忘却の皇子、ルルーシュ。彼は神聖ブリタニア帝国に占領された日本―エリア11でその正体を隠しながら暮らしていた。母を死に至らしめ、妹ナナリーの目と足の自由を奪った神聖ブリタニア帝国の打倒。謎の美少女C.C.から絶対遵守の力･ギアスを授けられた時、ルルーシュの野望が実現へと向けて動き出す―。,"アニメ,SF,アクション"
劇場版MAJOR／メジャー 友情の一球 (ウイニングショット),吾郎は名門、横浜リトルとの激闘を制し、父となった茂野、桃子とともに新天地の福岡へ。そこで吾郎は、新たなチームメイトの古賀との対立や、新しい家族との関係に思い悩む…。そんな吾郎の前に立ちはだかる史上最強のライバル、アーサーとマックス! 果たして吾郎は全国大会へ進むことができるのか!? 原作でもTVアニメでも語られなかった、感動のストーリーが、今よみがえる!,"アニメ,スポーツ,キッズ"
ブルー 初めての空へ,ブラジル生まれの飛べない読書家インコ“ブルー”は、飼い主リンダと一緒にミネソタ州の小さな田舎町の本屋で仲良く暮らしていた。ある日、鳥類学者チュリオが二人のもとを訪れ、ブルーが絶滅種のインコであることを告げる。そして、仲間たちを救うためにリオデジャネイロへ行くことを提案した。リンダは悩んだ結果、ブルーを連れてリオへ行くことを決意する。リオでブルーは同じ種のジュエルに出会い、一瞬で恋に落ちる。しかし、その夜、ブルーとジュエルは何者かに捕らわれてしまうのだった…。果たして、無事に逃げることが出来るのか!? リオを舞台に、飛べないブルーとジュエル、そして仲間たちの大冒険が始まる。,"アニメ,アドベンチャー,キッズ"
映画 それいけ! アンパンマン キラキラ星の涙,アンパンマンに助けられた乗組員、キラキラ星のマルデ･ヘンダーは、ナンダ･ナンダー姫といっしょに「キラキラの涙」という宝石を探しているらしいのですが…。,"キッズ,アニメ,ファミリー"
ロボッツ,「アイス･エイジ」のスタッフが贈る“夢いっぱい”の最新フルCGアニメーション! 小さな町の貧しい皿洗い機ロボット夫妻の元に生まれたロドニーは、夢を抱いて大都会ロボット･シティへ向かう。明るく一生懸命に生きる中古部品で作られたロボットたちとの出会い。だが、大企業の経営者ラチェットが、すべての中古ロボットをスクラップにするという恐ろしい計画を進めていた。これを阻止しようと、巨大都市でロドニーと仲間たちの冒険が繰り広げられる。果たして、ロドニーはラチェットの陰謀を阻止し、仲間を救うことができるのか?,"アニメ,SF,キッズ"
ミニスキュル 〜森の小さな仲間たち〜,森のなかで平和に暮らす、小さなムシたち。ある日、森でピクニックをしていた人間が残していった角砂糖が入った箱をめぐり、黒アリと赤アリの間で争いが起きる。その争いに巻き込まれてしまうのは、家族とはぐれてしまった一匹のてんとう虫。角砂糖の箱の中で雨宿りをしていたのをきっかけに黒アリと出会い、その箱を自分たちの巣へ運ぶ彼らを手伝うことに…。巣にたどり着くまでには何度も危機が訪れる。さらに、角砂糖を狙う冷酷な赤アリの大軍との戦いが待ち受けていた。てんとう虫と黒アリは、赤アリの攻撃から巣を守ることができるのか…。,"キッズ,アニメ,ファミリー"
スラムダンク 吠えろバスケットマン魂!! 花道と流川の熱き夏,「スラムダンク」シリーズ劇場版第4作目。陵南戦を控え、練習に励む花道たちのもとに、是非一緒にプレーしたいと申し込んできた少年がいた。その少年･水沢は、流川とともにインターハイに出場することが夢だという。夏よりも暑い練習を重ねる湘北バスケ部は、一度はその申し出を断るものの、水沢少年のバスケット選手生命が残り少ないことを知って引き受けることにする。流川だけでなく、桜木、赤木、三井、宮城たち湘北メンバーの豪快なファイト溢れるプレーがコートを駆け抜ける。,"アニメ,スポーツ,キッズ"
ガールズ&パンツァー 最終章 第1話,学園存続を懸けた大学選抜チームとの試合にからくも勝利し、ようやく平穏な冬の日々を過ごしていた大洗女子学園戦車道チームのメンバーたち。3年生の卒業を控え、生徒会が改選されて新執行部が始動するなど、小さな変化も始まっていた。そんなある日、彼女たちの上に降って湧いた騒動。再び現れた難問に立ち向かうため、戦車道チームが再始動する。彼女たちは何のために、誰のために戦うのか―?,"アニメ,アクション,青春"
ひるね姫 ～知らないワタシの物語～,岡山県倉敷市で父親と二人暮しをしている森川ココネ。何の取り柄も無い平凡な女子高生の彼女は、ついつい居眠りばかり。そんな彼女は最近、不思議なことに同じ夢ばかり見るようになる。考えなければいけないことがたくさんある彼女は寝てばかりもいられない。無口で無愛想なココネの父親は、そんな彼女の様子を知ってか知らずか、自動車の改造にばかり明け暮れている。2020年、東京オリンピックの3日前。突然父親が警察に逮捕され東京に連行される。どうしようもない父親ではあるが、そこまでの悪事を働いたとはどうしても思えない。ココネは次々と浮かび上がる謎を解決しようと、おさななじみの大学生モリオを連れて東京に向かう決意をする。その途上、彼女はいつも自分が見ている夢にこそ、事態を解決する鍵があることに気づく。,"アニメ,SF,青春"
ルパン三世 ルパン VS 複製人間,ルパンが処刑された。だが、銭形警部はそれを信じようとしなかった。処刑されたはずのルパンが姿を現した。処刑されたのは、ルパンそっくりの人物だったのだ。ルパンはエジプトのピラミッドに眠る賢者の石を盗み出し不二子の待つパリに向かうが、不二子はルパンから賢者の石を騙し取り、ある依頼人のもとに行く。その男はマモーと名乗った。不二子に何度も騙されるルパンに、愛想を尽かし去っていく次元と五ェ門。そんな中、ルパンはマモーに捕らわれ、カリブ海の孤島に運ばれてしまった。果たしてルパンはマモーに勝てるか?,"アニメ,アクション,サスペンス／ミステリー"
真救世主伝説 北斗の拳 五部作,「真救世主伝説」シリーズは、それぞれが原作とは違ったキャラクターの視点で描かれた新アニメシリーズ。劇場版の第一弾「ラオウ伝 殉愛の章」、OVA版の第二弾「ユリア伝」、劇場版の第三弾「ラオウ伝 激闘の章」、OVA版の第四弾「トキ伝」、劇場版の第五弾「ZERO ケンシロウ伝」の全五部作で構成。,"アニメ,SF,アクション"
ウォレスとグルミット 野菜畑で大ピンチ!,ウォレスと忠犬グルミットの村で、次々に畑が荒らされ、毎年恒例の巨大野菜栽培コンテストの開催が危ぶまれるほどになったため、ウォレスとグルミットはその事件解明に乗り出す。,"キッズ,アニメ,ファミリー"
スラムダンク 劇場版,バスケアニメの金字塔ともいえる「スラムダンク」シリーズの劇場版第1作目。県下ベスト8の常連校である武園バスケ部との練習試合。武園のエース小田に対して、桜木花道がバスケットマンの意地を賭けて小田と戦う!!,"アニメ,スポーツ,キッズ"
まじめにふまじめ かいけつゾロリ なぞのお宝大さくせん,TVアニメ「まじめにふまじめ かいけつゾロリ」の劇場版。「いたずらの王者になること」と「きれいなお嫁さんをもらうこと」そして「お城を建てること」が夢の自称「いたずらの天才」ゾロリ。子分のイシシとノシシを連れていたずら修行の旅に出たゾロリは、海賊タイガーに追われた少女テイルを助ける。テイルは形見のペンダントを手がかりに、父親の残した宝物を捜していた。テイルに一目ぼれしたゾロリは、お嫁さんとお城を手に入れようと、お宝が眠る古城に挑む!,"キッズ,アニメ,ファミリー"
アイカツ! ～ねらわれた魔法のアイカツ! カード～,スターライトクイーンになったあかりをメインに、いちごが映画を撮る事に! 1枚のアイカツ! カードを巡ってドタバタストーリー。最後は25人のアイドルステージも♥,"アニメ,音楽／ライブ,キッズ"
ランゴ,怖いもの知らずのヒーローにあこがれるカメレオンは、気づくと西部の町にいた。無法者が荒らし回るこの町で、彼は町を守るヒーローの役割を本当に演じるハメになる。,"アニメ,キッズ,アドベンチャー"
コードギアス 亡国のアキト,神聖ブリタニア帝国との戦いで劣勢の続くユーロピア共和国連合軍 (E.U.軍) は、国を亡くしイレヴンと呼ばれる日本人を集め特殊部隊「wZERO」を設立。日向アキトはナイトメアフレーム、アレクサンダのパイロットとして生きるための戦いを続ける。TVシリーズ『コードギアス 反逆のルルーシュ』後の空白の1年を描く、ヨーロッパで起こったもう一つの、ギアスを巡る少年少女の物語が幕を開ける。,"アニメ,SF,アクション"
スラムダンク 全国制覇だ! 桜木花道,「スラムダンク」シリーズ劇場版第2作目。いよいよインターハイに向けて県大会予選リーグが始まる。全国制覇を目指して湘北高校バスケ部は順調に勝ち進む中、次の対戦相手は、中学時代に赤木、小暮と同じバスケ部だった伍代が率いる津久武高校バスケ部だった。これまで絶不調のため、スタメン出場できない桜木花道は焦っていた。津久武の一年生センター･南郷と、この試合で晴子を取り合うことになっていたからだ。果たして、この試合の行方と花道の恋の行方は如何に…。,"アニメ,スポーツ,キッズ"
ガールズ&パンツァー これが本当のアンツィオ戦です!,大洗女子学園にあっさりと敗北したと思われたアンツィオ高校。だが、その裏には知られざる熱闘があった。アンツィオ高校の隊長アンチョビは大洗女子学園との全国大会第2回戦を前に、メンバーに檄を飛ばしていた。アンチョビによれば、対大洗女子学園の秘策があるという。少ない予算をやりくりし、倹約して貯金をして秘密兵器･イタリアの重戦車P40を購入したのだ。一方、大洗女子学園ではアンツィオ高校が新型戦車を導入したという情報は掴んでいたものの、その正体までは把握していなかった。そこで、優花里がアンツィオ高校に潜入して…。,"アニメ,アクション,青春"
LUPIN THE IIIRD 次元大介の墓標,秘宝「リトルコメット」を狙い東ドロアに潜入したルパンと次元。仕事に成功しての逃走中、一発の銃弾が次元を襲う! その銃弾が西ドロアでのクイーン=マルタ暗殺に使われた弾丸と同じものだと気づいた次元はルパンとともに墓地を訪れる。そこには『次元大介』の名が記された墓が! ターゲットの墓を事前に用意する殺し屋･ヤエル奥崎が、何者かの依頼によって次元を狙っているらしい。突き止めたヤエル奥崎のアジトで対峙する二人のガンマン。空気を切り裂き銃声が響く。撃たれたのは―! あばよ、次元…!,"アニメ,アクション,サスペンス／ミステリー"
ルドルフとイッパイアッテナ,大好きなリエちゃんから愛情をたっぷり受けて岐阜県で暮らしていた黒猫のルドルフ。ある日ひょんなことから長距離トラックの荷台に迷い込んでしまい、気づいたら大都会･東京に。そこで出会ったのは、なんと人間の文字を理解するボス猫･イッパイアッテナ。自分が住んでいた場所がわからないルドルフは、イッパイアッテナから故郷には帰れないことを教えられる。そして、ルドルフのノラ猫ライフが始まる…。はたして、ルドルフは大好きなリエちゃんの元に帰れるのか…。私たちの近くでたくましく生きるノラ猫たちの大冒険が始まる!!,"アニメ,アドベンチャー,キッズ"
タッチ3 君が通り過ぎたあとに,明青高校三年生の達也は最後のチャンスを悔いないものにするため、日々の猛練習に励んでいた。南も新体操部を退部し、野球部のマネージャー活動を再開して充実した毎日を送っていた。そんな時、野球部の西尾監督が入院することになり、代理監督として柏葉英二郎がやってきた。彼は狂気のようなシゴキで部員たちを苦しめ、明青野球部を潰すかのようだった。その真意は、兄で優秀な野球選手･英一郎の陰で、理不尽な思いをさせられた自らの野球人生に対する復讐だった。その標的にされた達也たちの運命は。そして、甲子園への予選大会が始まるのだった。,"アニメ,青春,キッズ"
LUPIN THE IIIRD 血煙の石川五エ門,"伊豆沖を進む賭博船で、襲撃された鉄竜会の組長を救ったのは若き用心棒･石川五ェ門。だが直後に大爆発が起こり船が大破。組長も命を落とす。爆発の原因は斧を武器に使う大男だった。一旦は男を追いつめた五ェ門だったが逃げられてしまう。男の異名は“バミューダの亡霊”かつて戦場で2,000人を殺戮した兵士でコードネームはホーク。なぜそんな男が日本にいるのか? 公安の銭形警部はホークの足取りを追う。そして、組長の葬儀の場で、裏切り者の汚名を着せられた五ェ門も、その屈辱を晴らすためホークを追うのだった。ホーク打倒のため、厳しい修業を積んだ五エ門は、ホークに一騎打ちを挑む。果たしてその勝負の行方は…!?","アニメ,アクション"
ハッピー フィート2 踊るペンギンレスキュー隊,米アカデミー賞(R)を受賞した大ヒットアニメ映画『ハッピー フィート』が、続編『ハッピー フィート2 踊るペンギンレスキュー隊』になって帰ってきた!! タップダンスの達人マンブルは、幼い息子エリックがダンス嫌いという悩みを抱えている。ダンスをしたくないエリックは練習から逃げ出し、飛べるペンギン、マイティ･スヴェンと偶然出会う! いかにタップダンスの達人マンブルといえども、このカリスマ性たっぷりの飛べるペンギンの前では、息子エリックにとってちっぽけな存在にすぎない。そんなとき、強大な力によって世界が揺り動かされ、あらゆる状況がどんどん悪い方向へと進み始める。世界を救うため、小さなオキアミから大きなゾウアザラシまで、あらゆる種類の生き物たちが集結してペンギン国の仲間たちと一致団結。その先頭に立って正義のために立ち上がろうとするマンブル。そんな父親の“ガッツと勇気”ある姿から、エリックは本当に大切なものを学んでいくのだった。,"アニメ,キッズ,ファミリー"
超劇場版ケロロ軍曹 撃侵ドラゴンウォリアーズであります!,謎の少女シオンの持つ「竜の書」の力により、ケロロ小隊がドラゴンへと姿を変えられ、強大なパワーを手に入れてしまう…。,"アニメ,アドベンチャー,キッズ"
映画かいけつゾロリ だ･だ･だ･だいぼうけん!,TVアニメ「まじめにふまじめ かいけつゾロリ」の劇場版第2弾。大ぼうけんの舞台は、その昔、海賊がたくさんのお宝を隠したという伝説の山、ガパール山。なぞのトレジャー･ハンター、ゾロンド･ロンより先にお宝を手に入れるため、山のふもとのガパパ村を訪れたゾロリとその子分イシシ、ノシシだったが、村では子どもたちの間で謎の伝染病“しましま病”が大流行していた。ゾロリは仲間とともに、いざガパール山へと出発する。果たしてゾロリは仲間たちと力を合わせ、子どもたちを救うことができるのか?,"キッズ,アニメ,ファミリー"
超劇場版ケロロ軍曹3 ケロロ対ケロロ 天空大決戦であります!,インカ帝国の遺跡マチュピチュを訪れた冬樹とケロロ小隊。彼らはそこで迷路のような遺跡を発見するが、トラップに引っかかり脱出を余儀なくされる。そんな中、冬樹は一瞬、迷路の中にたたずむ一人の少女を見かける。その少女の謎を抱えたまま東京に帰った冬樹とケロロたちの前に、最強の敵“ダークケロロ”が現れた…。,"アニメ,アドベンチャー,キッズ"
ハッピー フィート,皇帝ペンギンの世界は歌が命。歌で心を伝えられなければ、一人前の大人にはなれない。音痴な上に、タップダンスが上手という困った皇帝ペンギンのマンブルは、当然のようにエンペラー帝国から追放されてしまう。ひとりぼっちで未知の世界に飛び出すことになったマンブルは、ひょんなことからアデリー･ペンギンの5人組“アミーゴス”、そしてロックのカリスマ、ラブレイスと出会い、次第に自信とリズムを取り戻していく。踊る皇帝ペンギン、マンブルが繰り広げる、自分探しの大冒険が今始まる!,"アニメ,キッズ,ファミリー"
映画かいけつゾロリ うちゅうの勇者たち,地球では、はるかかなたから降ってきた“宇宙の石”が大ブーム! 大もうけしようとたくらみ、海の底で宇宙の石を探しはじめたゾロリたちであったが、ひょんなことから、な･な･な･なんと宇宙まで行っちゃった!! ゾロリたちが辿り着いたのは謎の星、ムムーン星。そこで美少女･クララに一目ぼれしたゾロリは、彼女のハートをゲットするため、星に住みついた〈巨大怪獣退治〉を引き受けてしまう…。ゾロリはイシシ･ノシシとともに、巨大怪獣をやっつけて、無事に宇宙から地球に帰ることはできるのか!?,"キッズ,アニメ,ファミリー"
超劇場版ケロロ軍曹2 深海のプリンセスであります!,水の惑星･マロン星から地球侵略にやって来たマロン人の末裔であるメール王子と従者のマール。自分たちの世界を立て直そうと決意した2人は、プリンセス候補として夏美をさらい、さらに地球をマロン星のように海だけの惑星に変えようとしていた! 果たして、ケロロ小隊は夏美を救出し、地球を守ることができるのか…?,"アニメ,SF,キッズ"
ガーディアンズ 伝説の勇者たち,世界を恐怖で支配しようとする悪者ピッチ。子供たちの夢と希望を守るため立ち上がったガーディアンズたち! 不思議の国のジャック･フロストとその仲間であるイースターバニーやサンタクロース、トゥース･フェアリー、サンドマンの行く手に何が待ち受けるのか!?,"アニメ,ファンタジー,キッズ"
映画かいけつゾロリ まもるぜ! きょうりゅうのたまご,TVアニメ「まじめにふまじめ かいけつゾロリ」の劇場版第3弾。ゾロリとイシシ&ノシシは大の仲良しのきょうりゅうママから「かぞくに新しいたまごがうまれました! ぜひ見に来てください!」という手紙をもらい、きょうりゅうが住む南の島“おっとっ島”を訪れた。と～んでもなく大きなたまごにゾロリたちは大こうふん! 楽しい時間を過ごしていたが、その夜、巨大台風が島をちょくげき! たまごが海に放り出されてしまう…大荒れの海に飛び込むゾロリたち。果たしてゾロリは、たまごをかぞくのもとに送り届ける事ができるのか?,"キッズ,アニメ,ファミリー"
超劇場版ケロロ軍曹 誕生! 究極ケロロ 奇跡の時空島であります!!,人気TVアニメの劇場版第5作。ある日冬樹のもとに届いた、ケロロそっくりの奇妙な石像。その謎を解き明かすためにケロロと冬樹の大冒険が始まる! 舞台は、神秘に満ちた絶海の孤島イースター島。そこに駆けつけたケロロ小隊と仲間たちの前に現れたのは、愉快な精霊マナ、不思議な双子イオとラナ、そして永い眠りから復活した、恐るべき伝説の邪霊アクアク。果たして石像の正体は? そして驚きの“究極の戦士 (ケロロ)”とは…? シリーズ最大･最凶の敵と大激突!! どうなる、ケロロ小隊!?,"アニメ,アドベンチャー,キッズ"
タッチ 背番号のないエース,上杉家の双子の兄弟･達也と和也。二人は幼なじみの少女･浅倉南とともに明青学園高等部に進学した。恋する南のため、野球部で必死に奮闘する努力型の天才･和也。だが南の秘めた気持ちは、周囲には凡才と評される達也の方にこそ実はあった。そんな二人の心情を知ってか、微妙に南との距離を置く達也。一方、和也は懸命に甲子園目指して勝ち進み、ついに地区予選の決勝を迎えるが…。,"アニメ,青春,キッズ"
劇場版美少女戦士セーラームーンS,宇宙開拓事業団に勤める青年･宇宙翔は、ある日、車に轢かれそうになった黒ネコ･ルナを助ける。ルナは翔の純粋な心に惹かれ始めるが、彼にはすでに名夜竹姫子という恋人がいた。愛し合う二人を見ていると湧いてくる切ない思い…ルナは初めて“恋”という感情を知るのだった。一方、宇宙中の彗星スノー･カグヤは次々と世界各地を凍らせていき、地球は氷の世界へと近づいていた。愛する者たちのため、セーラー戦士たちは戦いを始める!,"アニメ,アクション,キッズ"
超劇場版 ケロロ軍曹,今日もガンプラを買いに出かけた帰り道に不思議な祠を見つけたケロロと冬樹。その中にあった壷をケロロは割ってしまう。翌日から街に起こり始める様々な異変。それはケロロが壷を割ったため、ケロン星の古代最終兵器･キルルの封印が解けたせいらしい。ケロロたちの前に現れたミララは、キルルについて教えるが…。,"アニメ,SF,キッズ"
メガマインド,悪役のメガマインドは、ついに宿敵のヒーロー、メトロマンを倒す…。しかし正義のヒーローがいなければ、自分の生きる意味はないことに気づく。,"キッズ,アニメ,SF"
ダム･キーパー 短編映画,時は、世界が大気汚染に覆われた時代。汚れた大気と暗雲の影響を受けずに、生きながらえてきた小さな街があった。街は大きなダムによって、その呪われた大気から守られていた。主人公はブタの少年。家族も、友達もいない。家族代々受け継がれて来たダム･キーパーの仕事は、今は少年一人によって行われていた。その仕事は8時間に一度、歯車のネジを巻いて風車を動かす事で、汚染された空気をダムの外側に追い出すことだった。長い間平和ボケした街の人たちは、ダムが誰によって動かされているのか、そもそもダムの向こう側に何があるのかすら、忘れてしまっていた。そんなある日、彼の学校にキツネの転校生がやってくる。絵を描く事が好きで、天真爛漫なキツネとの出会いは、少年のその後の人生を大きく変えるきっかけとなる。,"キッズ,アニメ,ファミリー"
ピアノの森,雨宮修平は、ピアニストを目指す小学5年生。修平とクラスメイトの一ノ瀬海は、近所の「ピアノの森」に行く。森の奥にはグランドピアノがあった。そのピアノは修平が弾こうとしても音が出ず、不思議な事に海には弾くことができる。自由奔放に森のピアノを弾く海。その音色は不思議と人をひきつけ、修平は心を揺り動かされる。,"アニメ,ヒューマンドラマ,キッズ"
機動警察パトレイバー 劇場版,1999年夏。自衛隊の試作レイバーが突如無人のまま暴走するという事件が発生する。しかし、それは相次ぐ事件のほんの幕開けに過ぎなかった。何者かが仕掛けたコンピューターウィルスによって、都内各所で作業用レイバーが次々と暴走。警視庁特車二課第2小隊は、姿なき犯人を追ってこのメガロポリスを駆け抜ける!,"アニメ,SF,アクション"
劇場版 くまのがっこう ジャッキーとケイティ,山の上の寄宿舎で暮らす、12匹のくまのこたち。11番目まではみんな男の子。いちばん最後の12番目、たったひとりの女の子が、この物語の主人公“ジャッキー”です。いたずら好きで好奇心旺盛なジャッキーは、優しいお兄ちゃんたちに囲まれて、楽しい日々を送っています。ある日、お兄ちゃんたちと旅に出たジャッキーは、草原で一人の女の子くま“ケイティ”と出会います、二人はすぐに友達になりますが、体の弱いケイティは病気になってしまいます。ケイティに元気になってもらうため、ジャッキーとお兄ちゃんたちの大冒険が始まります。,"アニメ,ファミリー,キッズ"
美少女戦士セーラームーンSuperS セーラー9戦士集結! ブラック･ドリーム･ホールの奇跡,9人のミラクルパワー、遂に復活!! 子供たちの美しい夢は、ぜったい守ってみせる! ある日、ちびうさは不思議な少年ペルルに出逢う。二人はすぐに仲良しになり、ちびうさはペルルにクッキーをプレゼントし、また会う約束をする。一方、世界各国の都市で、大勢の子供たちが突然行方不明になるという不気味な事件が次々と発生する。そしてその魔の手は、セーラー戦士たちが住む十番街にも襲い掛かるのだった。,"アニメ,アクション,キッズ"
アイアンマン & ハルク：奇跡のタッグ,ヒドラの科学者に雇われたアボミネーションに捕まったハルク。ハルクのガンマ線エネルギーを使ってアーク･リアクターを動かそうというのだ。しかしその結果、科学者にも制御できないエネルギー生命体ザックスが誕生してしまう。地球上のエネルギーを吸い尽くそうとするザックス。すると突然の停電に異変を感じたアイアンマンが現れる。アイアンマンとハルクは反目し合いながらも、ウェンディゴやザックスに乗っ取られたスーツに立ち向かう。果たして2人は共闘の道を見いだし、手ごわい敵ザックスを倒せるのか。そして地球の運命は?,"アニメ,アクション"
