タイトル,あらすじ,ジャンル
アメリ（字幕版）,幸せになる子供の頃から空想好きなアメリ・プーランそのまま大人になった彼女の好きなことは河での水切りやクレームブリュレの焦げを割ることそしてまわりの誰かを今より少しだけ幸せにすることそんな少し風変わりで、自分の事には不器用なアメリがある青年に恋をして…©2001UGCIMAGES-TAPIOCAFILM-FRANCE3CINEMA-MMCINDEPENDENT-Tousdroitsreserves,ドラマ
ニューヨーク 眺めのいい部屋売ります（字幕版）,"画家の夫アレックスと元教師の妻ルース、二人が40年間暮らすのは、ブルックリンを一望できる最高の我が家。しかし、この家には唯一の欠点が…それは、エレベーターがないこと。ある日ルースは、愛する夫と愛犬のためにとこの“眺めのいい部屋”を売ることを決意した。戸惑うアレックスをよそに、姪っ子の敏腕不動産エージェントによって億の値で売りに出されることがあっという間に決まり、オープンハウスの手筈が整うが…。(C) 2014 Life Itself, LLC All Rights Reserved",ドラマ
In Time (字幕版),＜時間＞＝通貨！これまでの常識を覆す衝撃のタイムリミットSFアクション！！全ての人類は25歳で成長が止まる,"SF,サスペンス"
スケア・キャンペーン（字幕版）,人気TV番組「スケア・キャンペーン」。出演者をニセの心霊現象などで怖がらせて、その様子を隠しカメラで撮影するというドッキリで長年視聴者を楽しませてきた。しかし最近では、無料動画投稿サイトの過激な映像に押されて人気も停滞気味。そんな中、新たに企画されたのは、廃墟となった病院でのドッキリ。準備が完了し、そこにどことなく様子のおかしいターゲットの男がやってくる。だがそいつはなんと、本物の殺人鬼だった！(C) 2015 Cyan Films Pty Ltd and Major International Pictures Pty Ltd,ホラー
トロイ (字幕版),トロイとスパルタの確執の歴史に幕が下ろされようとしていた時、トロイの王子パリスはスパルタの王妃ヘレンと恋に落ちた。それが後に史上最大の戦いを引き起こすこととも知らずに・・・。 Rating PG12 (C) 2004 Warner Bros. Entertainment Inc. All rights reserved.,"ドラマ,アクション"
ブラッド・スローン(吹替版),完璧な、非の打ちどころの無いエリート人生を歩んできた男。金融ビジネスで成功し、美しい妻と息子にも恵まれ、絵に描いたような順風満帆で幸せな生活を送っていた。しかし、ある夜、不注意から起こした自動車事故で死亡者を出したことがきっかけで、人生が一変する。有罪判決を受けた彼が収監された刑務所は、全米いや世界屈指の重犯罪者の巣窟だった。悪が蔓延る熾烈な世界で生き抜く術はただ一つ、“殺られる前に殺る”こと。持ち前の明晰な頭脳を駆使し、肉体を鋼のように鍛え上げ、冷酷非情、酷薄無情の世界をのし上がる。熾烈な抗争を勝ち抜きやがて頭角を現す彼を、最大の試練が待ち受ける…。,"アクション,サスペンス"
シンクロナイズドモンスター(字幕版),"憧れのニューヨークで働いていたグロリア(アン・ハサウェイ)だったが、失業してからというもの酒浸りの日々を送っていた。ついには同棲中の彼氏ティム(ダン・スティーヴンス)に家を追い出され、生まれ故郷の田舎町へと逃げ帰る。グロリアは幼馴染のオスカー(ジェイソン・サダイキス)が営むバーで働くことになるが、その時驚愕のニュースが世界を駆け巡る。韓国ソウルで突如巨大な怪獣が現れたというのだ。テレビに映し出された衝撃映像に皆が騒然とする中、グロリアはある異変に気付く。「この怪獣、私と全く同じ動きをする…?!」舞い上がったグロリアは、怪獣を操り世界をさらなる混乱へと陥れるが、そこに「新たなる存在」が立ちはだかる-!（C）2016 COLOSSAL MOVIE PRODUCTIONS, LLC. ALL RIGHTS RESERVED.","ドラマ,コメディー"
7 WISH ／ セブン･ウィッシュ (吹替版),願い事には気をつけて…,ホラー
シャークネード（吹替版）,"人喰い鮫×巨大竜巻突如、カリフォルニア・ビーチを襲ったハリケーン。荒波と共に現れたサメが、人々を喰い尽くしていく。だが、それは恐怖の始まりにすぎず、 サメの大群を巻き込んだ巨大な竜巻が発生！未曾有の猛威が、アメリカを絶望の渦に陥れる！！©2013,THEGLOBALASYLUM,INC.AllRightsReserved.",SF
TAXi②(字幕版),スピード狂のタクシー運転手ダニエルは、サミットでフランスにやってきた日本の防衛庁長官の運転手に抜擢される。ところが、厳重装備の護送車から、長官は謎のテロリスト集団に誘拐されてしまう。マルセイユからパリへ、ダニエルのタクシーによる史上最速、前代未聞の救出作戦が展開する！(C) 2000 EUROPACORP - ARP - TF1 FILMS PRODUCTION,"アクション,コメディー"
デンジャラス・ビューティー (字幕版),男勝りで色気ゼロのFBI捜査官、グレイシー・ハートは手配中の連続爆弾魔の次のターゲットが、アメリカ最大の美の祭典、ミス・アメリカ・コンテスト会場だったことから潜入捜査を命じられ・・・。 Eirin Approved (C) 2000 Village Roadshow Films (BVI) Limited. (C) 2001 Warner Bros. Entertainment Inc. All rights reserved.,アクション
LEGO ジュラシック・ワールド　シークレット展示　パート2,サイモン・マスラニがジュラシック・ワールドのために新しい展示企画を発案。成功すれば、テーマパーク界のトップとしての地位を確実にする、恐竜発見以来の偉業となるはずだ。しかし、そのためにはサイモンの右腕で野心家のクレア・ディアリングが持ち前の問題解決能力を発揮し、３頭の恐竜を新しいシークレット展示会場へ運ばなければならない。クレアは、恐竜の配達担当として顔も知らない新顔の動物行動学者、オーウェン・グレイディを雇い、嫌々ながらもタッグを組むと、島を巡るワクワクいっぱいの大冒険に繰り出す。ところが、恐竜を新しい展示会場に配達する任務は、思った以上に厄介な仕事だった。,"アクション,キッズ"
最高の人生の見つけ方(吹替版),余命6ヶ月、一生分笑う。 Rating G (C) 2007 Warner Bros. Entertainment Inc. All rights reserved.,"ドラマ,コメディー"
アイ・スピット・オン・ユア・グレイヴ (字幕版),ケダモノども、地獄へ堕ちろ。ジェニファーを突然襲った凄まじい暴力の嵐。繰り返しレイプされ身も心も壊されてゆく女。そして彼女は帰ってきた奴らを地獄へ送るために!!,"アクション,サスペンス"
イーグル・アイ (字幕版),コピーショップで働き退屈な毎日を送るジェリー。一卵性双生児の兄の葬儀からアパートに帰ったジェリーの携帯が鳴った。 「30秒でFBIが到着する。今すぐ逃げなさい」。 シングルマザーのレイチェルはひとり息子を楽団の演奏旅行に送り出した後、同じ女からの着信を受ける。 「息子のために命を懸けられるか。」 まったく面識のないこの2人に共通するのは、見知らぬ女性からの電話。その声に従い引き合わされた二人は、FBIからも追われる身となる。生き延びるには、その声に従うしかない。 その声はいったい何者なのか？何の目的のために、2人は選ばれたのか？そして、選ばれた2人に突きつけられた使命とは―？,アクション
潜入者(吹替版),1980年代、史上最大規模とも言われる犯罪帝国を築いたコロンビアの麻薬王パブロ・エスコバル。当時アメリカに流入するドラッグのほとんどが、彼の組織を経由したものだと言われていた。そんな事態を重く見たアメリカ政府は、エスコバルの息の根を止めるため、大規模な潜入捜査作戦を計画する。それはベテラン捜査官のロバート・メイザーを架空の大富豪に仕立てあげ、その財力を持って組織に取り入り、内側から組織を崩壊させるという大胆不敵なものだった―。,"アクション,サスペンス"
オーケストラ！ (字幕版),劇場清掃員として働くさえない中年男アンドレイ・フィリポフ（アレクセイ・グシュコブ）は、かつてはロシア・ボリショイ交響楽団で主席を務めた天才指揮者だった。彼は、共産主義時代、“ユダヤ主義者と人民の敵”と称されたユダヤ系の演奏家たち全員の排斥を拒絶し、名声の絶頂期に解雇されたのだった。ある日、清掃中にアンドレイは、1枚のFAXを目にする。それは、演奏を取りやめたサンフランシスコ交響楽団の代わりに、パリのプレイエルに出演するオーケストラを2週間以内に見つけたいという内容だった。その瞬間、彼は、かつての仲間を集めて偽のオーケストラを結成、ボリショイ交響楽団代表としてパリに乗り込むことを思いつく。,ドラマ
インモータルズ (吹替版),遥か昔、神々が神話上の戦いでタイタンを打ち倒した。『インモータルズ　神々の戦い』は、それからかなりの時が流れた時代の物語を描くアドベンチャーの大傑作だ。アカデミー賞候補俳優ミッキー・ロークが邪悪な野望を持つ暴君王ハイペリオンを演じる。彼は強大な軍隊を率いてエピロスの弓を探し求める。このエピロスの弓を手にすると、想像を絶する力の主となり、タイタンを復活させることだけではなく、人類破壊も可能となる。,"ドラマ,アクション,外国映画"
殺人の追憶(字幕版),1986年、ソウル近郊の農村で若い女性の裸死体が発見された。その後も同じ手口の連続殺人事件が相次いで発生。現地には特別捜査本部が設置され、地元の刑事パク・トゥマン（ソン・ガンホ）とソウル市警から派遣されたソ・テユン（キム・サンギョン）は、この難事件に挑む。性格も捜査方法も異なる二人は対立を続け何度も失敗を重ねながら、ついに有力な容疑者を捕らえるのだが・・・。(C)2003 CJ Entertainment Inc & Sidus Corporation,サスペンス
ディセント(字幕版),年に一度の冒険旅行を楽しむ6人の女友達。今年彼女たちが向かったのはアパラチア山脈奥地の地下洞窟だった。ケイビングを楽しむ探検のはずが、落盤によって出口が塞がれ、一瞬にして彼女たちは迷路のような暗闇の世界に閉じ込められてしまう。出口を探してさまよい歩く中で、やがて言い争いから仲間割れが発生。精神的にも肉体的にも疲労と恐怖が襲いかかる中、目の前に現れたのは、おぞましき光景と想像を絶する恐怖の始まりだった…。(C) CELADOR FILMS 2005,"ホラー,アドベンチャー"
レディ・バード (字幕版),2002年、カリフォルニア州サクラメント。閉塞感溢れる片田舎のカトリック系高校から、大都会ニューヨークへの大学進学を夢見るクリスティン（自称“レディ・バード”）。高校生活最後の1年、友達や彼氏や家族について、そして自分の将来について、悩める17歳の少女の揺れ動く心情を瑞々しくユーモアたっぷりに描いた超話題作！,"ドラマ,コメディー"
Don't Say A Word (字幕版),マイケル･ダグラス主演､緊迫のサスペンス･アクション大作!,"サスペンス,ドラマ"
ミッドナイト・イン・パリ(吹替版),"ハリウッドの脚本家ギルは、婚約者とその両親と共に憧れのパリに滞在中。 そんな彼がある夜、0時を告げる鐘の音に導かれて迷い込んだ先は、芸術花開く1920年代だった！ これは夢か幻かと驚くギルの前に、次から次へと偉人を名乗る面々と、妖艶な美女アドリアナが現れて・・・。(C)2011 Mediaproduccion, S.L.U., Versatil Cinema, S.L. and Gravier Productions, Inc.","ロマンス,コメディー"
ドリームガールズ (字幕版),1962年。音楽での成功を夢見るエフィ、ローレル、ディーナの３人は、“ドリーメッツ”というグループを結成して、新人オーディションへの挑戦を繰り返していた。そんな彼女たちに大きな可能性を見出したのが、中古車販売会社を経営するカーティス。マネジメントを買って出た彼は、地元の人気シンガー、ジェームス・アーリーのバックコーラスに抜擢する。彼らのパワフルなステージは全米の注目を集め、“ザ・ドリームズ”に改名してデビューしたディーナたちはスター街道を歩み始めるが・・・。,ドラマ
はじまりへの旅(字幕版),【第69回カンヌ映画祭「ある視点」監督賞受賞。第89回アカデミー賞主演男優賞ノミネート。】ベン・キャッシュと6人の子供たちは、現代社会に触れることなくアメリカ北西部の森深くで暮らしていた。父仕込みの訓練と教育で子供たちの体力はアスリート並み。みな6ヶ国語を操り、18歳の長男は名立たる大学すべてに合格。しかしある日入院していた母・レスリーが亡くなり、一家は葬儀のため、そして母の最後のある“願い”をかなえるため旅に出る。葬儀の行われるニューメキシコまでは2400キロ。チョムスキーは知っていても、コーラもホットドッグも知らない世間知らずの彼らは果たして、母の願いを叶えることが出来るのか・・・？,ドラマ
ブラッド・スローン(字幕版),完璧な、非の打ちどころの無いエリート人生を歩んできた男。金融ビジネスで成功し、美しい妻と息子にも恵まれ、絵に描いたような順風満帆で幸せな生活を送っていた。しかし、ある夜、不注意から起こした自動車事故で死亡者を出したことがきっかけで、人生が一変する。有罪判決を受けた彼が収監された刑務所は、全米いや世界屈指の重犯罪者の巣窟だった。悪が蔓延る熾烈な世界で生き抜く術はただ一つ、“殺られる前に殺る”こと。持ち前の明晰な頭脳を駆使し、肉体を鋼のように鍛え上げ、冷酷非情、酷薄無情の世界をのし上がる。熾烈な抗争を勝ち抜きやがて頭角を現す彼を、最大の試練が待ち受ける…。,"アクション,サスペンス"
トロイ(吹替版),トロイとスパルタの確執の歴史に幕が下ろされようとしていた時、トロイの王子パリスはスパルタの王妃ヘレンと恋に落ちた。それが後に史上最大の戦いを引き起こすこととも知らずに・・・。 Rating PG12 (C) 2004 Warner Bros. Entertainment Inc. All rights reserved.,"アクション,ドラマ"
イップ・マン　継承(吹替版),1959年。好景気に沸く香港は、その一方で、無法地帯になりつつあった。裏社会を牛耳る最凶の不動産王・フランクによる暴挙から町を守るため、静かな達人イップ・マンは立ち上がる。だがそれは、自身の家族をも命の危険にさらすことを意味していた。さらには、武術“詠春拳”の正統をめぐって挑まれた死闘・・・。果たしてイップは、人生において最も大切なものを見出し、守り、伝えることができるのか？(C)2015 Pegasus Motion Pictures (Hong Kong) Ltd. All Rights Reserved.,"ドラマ,アクション"
ヒックとドラゴン2 (字幕版),2015年ゴールデン・グローブ賞　アニメ作品賞受賞！2015年アカデミー賞（R)長編アニメーション賞ノミネート！世界中で大ヒットしたドリームワークスが贈る勇気と感動のアドベンチャー大作、ファン待望の続編が遂に登場！超巨大ドラゴンから仲間たちを守るため、ヒックとトゥースの新たな冒険が始まる！,"キッズ,コメディー"
ブリムストーン(吹替版),小さな村で年の離れた夫と二人の子供と暮らす美しい女性・リズ。ある事情で言葉を発することが出来ないが、村では助産師として頼られる存在だ。夫の連れ子である長男は反抗的だが、幼い娘と家族4人で概ね幸せに暮らしている。そんなある日、村に一人の牧師がやってきて、リズの人生は一変する。鋼のような肉体と信仰心を持つその男は、リズに「汝の罪を罰しなければならない」と告げる。彼女は、家族に危険が迫っていると告げるのだが…。いったい、彼女の過去に何があったのか…。それは、壮絶な暴力と復讐の物語の始まりだった。,"ドラマ,サスペンス"
宇宙戦隊キュウレンジャー　ＴＨＥ　ＭＯＶＩＥ　ゲース・インダベーの逆襲,巨大彗星兵器ゲース・スターの地球衝突まであと72時間！　ジャークマター独立部隊の隊長ゲース・インダベーは、地球を消滅させて、全宇宙を牛耳る神の力を手に入れようと企んでいた。あまりに巨大な敵を食い止めるには、宇宙に散りばめられた不思議な力を持つ3つの石を集めなければならない。惑星から惑星へ、宇宙を巡って繰り広げられる大冒険！　そしてあわや地球滅亡の寸前、日本列島を軽く跨ぐ「ギガトン級超巨大ロボ」が出現するのだった！！（C）2017 劇場版「エグゼイド・キュウレンジャー」製作委員会　（C）2017 テレビ朝日・東映AG・東映,"アクション,SF,キッズ"
スノーピアサー(字幕版),2014年7月1日、人類は突如として絶滅の危機を迎えた。地球温暖化を食い止めるために散布された冷却物質は地球に氷河期をもたらし、永久機関を持つ列車「スノーピアサー」に乗り込んだ人々だけが生き残りに成功する。それから17年後の2031年。「スノーピアサー」の乗客は前方車両の富裕層と後方車両の貧困層とに分けられ、富裕層によって過酷な支配を受ける貧困層はカーティスをリーダーに、平等な社会を、そして人間の尊厳を取り戻すために革命を起こした―。(C)2013 SNOWPIERCER LTD.CO. ALL RIGHTS RESERVED,アクション
アイ・イン・ザ・スカイ 世界一安全な戦場(吹替版),ナイロビ上空6000mを飛ぶ【空からの目】を使い、イギリス軍の諜報機関のキャサリン・パウエル大佐(ヘレン・ミレン)は、国防相のベンソン中将(アラン・リックマン)と協力して、英米合同軍事作戦を遠く離れたロンドンから指揮している。凶悪なテロリストたちが大規模な自爆テロを実行しようとしていることをつきとめ、アメリカ・ネバダ州の米軍基地にいるドローン・パイロットのスティーブ(アーロン・ポール)に攻撃の指令を出すが、殺傷圏内に幼い少女がいることがわかる。キャサリンは、少女を犠牲にしてでもテロリスト殺害を優先しようとするが――。(C)eOne Films (EITS) Limited,"サスペンス,軍隊・戦争"
ペレ 伝説の誕生(吹替版),ブラジルをサッカー王国へと変貌させ、サッカーの王様と呼ばれた“ペレ”。そのプレーは戦争すら停戦させ、彼の背番号“10”はエースナンバーの象徴となった。1958年、スウェーデンW杯。わずか17歳の少年ペレは崩壊寸前の母国ブラジル代表を救い、世界の頂点へと導いた。スラムしか知らない少年がプロチームに入団してからわずか18か月後、なぜ彼は世界を変えることが出来たのか？父との約束、母の愛、そして全国民の期待を背負い、ペレが選んだ絶望を希望に変える“禁じられた切り札”とは？(C)2015 Dico Filme LLC,"ドラマ,スポーツ"
ブルース・ブラザース (字幕版),コメディの大御所、ジョン・ベルーシとダン・エイクロイドが共演する「ブルース・ブラザース」は、大爆笑満載のミュージカル・コメディ。ジェイク・ブルース（ジョン・ベルーシ）が出所し、弟のエルウッド(ダン・エイクロイド)と一緒に、世話になった孤児院の寄付金を集めるためにブルースバンドを再結成する。“神からの使命”を果たすために出発する兄弟には大混乱がつきもの。ジョン・ランディス監督（「アニマル・ハウス」）が描くソウル一杯のコメディは、ブルースの巨匠レイ・チャールズ、ジェームズ・ブラウン、アレサ・フランクリン、キャブ・キャロウェイの素晴らしい演奏を組み込んだ作品だ。,"アクション,コメディー"
ファインド・アウト(吹替版),ジルが夜勤明けに家へ帰ると、妹モリーが忽然と姿を消していた。1年前、誘拐されるも自力で犯人から逃れたジルは、同じ連続殺人犯が妹を連れ去ったに違いないと確信する。しかし警察は、証拠のないジルの訴えをまともに聞き入れようとせず、動かなかった。Rating G (C) 2012 LAKESHORE ENTERTAINMENT GROUP LLC All Rights Reserved.,サスペンス
インシディアス　序章 (吹替版),高校卒業を間近に控えたクインは、最近亡くなった母リリーとの霊界交信を求め、霊能者エリーズのもとを訪れる。エリーズは鬱病の夫を一年前に自殺で亡くして以来、仕事から足を洗っていたが、クインに同情し話を聞くうちに、彼女が霊に取りつかれていることに気づく。 演劇学校のオーデションの帰りに車にはねられ、クインは重傷を負う。3週間後、退院し家に戻ったクインに悪霊の魔の手が迫っていた。娘の危機に父親のショーンは、エリーズに助けを求めるが、取りついた悪霊の強さにエリーズは除霊を途中で投げ出してしまう…。,ホラー
Street Kings (字幕版),「L.A.コンフィデンシャル」以来の衝撃、キアヌが挑むクライム・アクション最期に頼れるのは、魂か。弾丸か。,"ドラマ,サスペンス"
ビッグ・フィッシュ (字幕版),エドワードは彼が語るお伽話で有名になった人物。未来を予見する魔女のこと、一緒に旅をした巨人のこと、人を襲う森とその先にある美しい町のこと。彼が語る「人生のストーリー」に誰もが楽しく、幸せな気分になった。しかし、一人息子のウィルはそんな父の話が嫌いだった。長い間すれ違う父と子。そんなある日患っていたエドワードの容態が悪化し、実家に戻ったウィルに、残された時間があとわずかだと告げられるー。,"ロマンス,外国映画"
恋愛適齢期(字幕版),自分らしく生きている時が、「恋愛適齢期」。ジャック・ニコルソン×ダイアン・キートン×キアヌ・リーブス。豪華キャストで贈る、大ヒットラブ・コメディ！ Rating PG-12 (C) 1995 Warner Bros. Entertainment Inc. All Rights Reserved.,"コメディー,ロマンス"
シング・ストリート 未来へのうた(字幕版),1985年、大不況のダブリン。人生14年、どん底を迎えるコナー。父親の失業のせいで公立の荒れた学校に転校させられ、家では両親のけんかで家庭崩壊寸前。音楽狂いの兄と一緒に、隣国ロンドンのPVをテレビで見ている時だけがハッピーだ。ある日、街で見かけたラフィナの大人びた美しさにひと目で心を撃ち抜かれたコナーは、「僕のバンドのPVに出ない？」と口走る。慌ててバンドを組んだコナーは、無謀にもロンドンの音楽シーンを驚愕させるPVを撮ると決意、猛練習＆曲作りの日々が始まったー(C)2015 Cosmo Films Limited. All Rights Reserved,"アート・エンターテイメント・カルチャー,外国映画,ドラマ"
デビルクエスト (字幕版),伝染病が世にはびこる14世紀。十字軍の騎士ベイメンとフェルソンは、キリストの名のもとに激しい戦闘を繰り返していた。遠征と殺戮の日々に疑問を抱いたベイメンはフェルソンと旅に出る。 ふたりは食料を求めて立ち寄ったとある町で捕らえられ、病に伏せる枢機卿より「捕らえている女を人里離れた修道院へ運び、魔女裁判にかけよ」との特命を受ける。女は世を荒廃させる疫病の根源だと考えられていたのだ。 伝説的な騎士ベイメンとフェルソンに、神父のデベルザック、腕利きの騎士エッカート、若き侍者カイが加わり、そして詐欺師のハガマーを案内人とし、修道院のあるセヴラックを目指して彼らの旅がはじまる。 険しい道中、行く手を阻むかのように不可思議なことが起こり、旅の仲間が次々と危険にさらされる。それは＜魔女＞の仕業なのか？ 果たして彼女は本当に＜魔女＞なのだろうか？ そして彼らの前に想像を絶する巨大な“悪”が姿を現す――！！,アクション
シング・ストリート 未来へのうた(字幕版),1985年、大不況のダブリン。人生14年、どん底を迎えるコナー。父親の失業のせいで公立の荒れた学校に転校させられ、家では両親のけんかで家庭崩壊寸前。音楽狂いの兄と一緒に、隣国ロンドンのPVをテレビで見ている時だけがハッピーだ。ある日、街で見かけたラフィナの大人びた美しさにひと目で心を撃ち抜かれたコナーは、「僕のバンドのPVに出ない？」と口走る。慌ててバンドを組んだコナーは、無謀にもロンドンの音楽シーンを驚愕させるPVを撮ると決意、猛練習＆曲作りの日々が始まったー(C)2015 Cosmo Films Limited. All Rights Reserved,"アート・エンターテイメント・カルチャー,外国映画,ドラマ"
デビルクエスト (字幕版),伝染病が世にはびこる14世紀。十字軍の騎士ベイメンとフェルソンは、キリストの名のもとに激しい戦闘を繰り返していた。遠征と殺戮の日々に疑問を抱いたベイメンはフェルソンと旅に出る。 ふたりは食料を求めて立ち寄ったとある町で捕らえられ、病に伏せる枢機卿より「捕らえている女を人里離れた修道院へ運び、魔女裁判にかけよ」との特命を受ける。女は世を荒廃させる疫病の根源だと考えられていたのだ。 伝説的な騎士ベイメンとフェルソンに、神父のデベルザック、腕利きの騎士エッカート、若き侍者カイが加わり、そして詐欺師のハガマーを案内人とし、修道院のあるセヴラックを目指して彼らの旅がはじまる。 険しい道中、行く手を阻むかのように不可思議なことが起こり、旅の仲間が次々と危険にさらされる。それは＜魔女＞の仕業なのか？ 果たして彼女は本当に＜魔女＞なのだろうか？ そして彼らの前に想像を絶する巨大な“悪”が姿を現す――！！,アクション
エントラップメント（字幕版）,ショーン・コネリー＆キャサリン・ゼタ＝ジョーンズ共演、予想を裏切るクライマックスに緊張が走る、スリリングなノンストップ・アクション！,サスペンス
エージェント : ライアン（字幕版）,ＣＩＡにリクルートされたジャック･ライアンは陰謀とスパイ活動の中に身を投じることになる。テロリストによるアメリカ崩壊のシナリオを阻止すべく、彼は兵士から分析官、そして一人前のエージェントへと変貌を遂げるのであった。,ドラマ
キング・オブ・エジプト(字幕版),"古代エジプト。神と人間が共生する世界で、エジプトの王座をかけたバトルが勃発した。鍵を握るのは、奪われた恋人を救うため立ち上がった盗賊の青年ベック。巨大ピラミッドの迷路に迷い、スフィンクスに謎をかけられ、神々に翻弄されながら、<神の眼>を盗み出し、エジプトの天下取りを目指す！(C)2016 Summit Entertainment, LLC. All Rights Reserved.","アドベンチャー,アクション,外国映画"
沈黙 -サイレンス-(字幕版),"17世紀、江戸初期。幕府による激しいキリシタン弾圧下の長崎。日本で捕らえられ棄教（信仰を捨てる事）したとされる高名な宣教師フェレイラを追い、弟子のロドリゴとガルペは日本人キチジローの手引きでマカオから長崎へと潜入する。日本にたどりついた彼らは想像を絶する光景に驚愕しつつも、その中で弾圧を逃れた“隠れキリシタン”と呼ばれる日本人らと出会う。それも束の間、幕府の取り締まりは厳しさを増し、キチジローの裏切りにより遂にロドリゴらも囚われの身に。頑ななロドリゴに対し、長崎奉行の井上筑後守は「お前のせいでキリシタンどもが苦しむのだ」と棄教を迫る。そして次々と犠牲になる人々―　守るべきは大いなる信念か、目の前の弱々しい命か。心に迷いが生じた事でわかった、強いと疑わなかった自分自身の弱さ。追い詰められた彼の決断とは―(C)2016 FM Films, LLC. All Rights Reserved.",ドラマ
ロボコップ３ (吹替版),1987年ヒット作｢ロボコップ｣のシリーズ第３弾。オムニ社は、未来都市建設地に住むホームレスを立ち退かせようと私設の特殊部隊を送り込む。ロボコップは反乱軍と共に戦いに挑むが…。,アクション
アジョシ(吹替版),"少女は、助けを求めた。男は、命をかけると決めた。悲しい過去を抱えて生きるテシク。ただ一人心を通わせる孤独な少女ソミが誘拐された時、テシクは今度こそ、大切な人を守り抜くと誓うのだが──。 Rating R15+ (C) 2010 CJ Entertainment Inc. & United Pictures, All rights reserved.",アクション
それでも夜は明ける(字幕版),"1841年、ニューヨーク。家族と幸せな日々を送っていたバイオリン奏者ソロモンは、ある日突然誘拐され、奴隷にされる。彼を待ち受けていたのは、狂信的な選民思想を持つエップスら白人による目を疑うような差別、虐待そして”人間の尊厳”を失った奴隷たちだった。妻や子供たちと再び会うために彼が生き抜いた11年8カ月と26日間とは。(C)2013 Bass Films, LLC and Monarchy Enterprises S.a.r.l. in the rest of the World.　All Rights Reserved.",ドラマ
ハイエナ・ロード（吹替版）,イスラム系武装組織タリバン発祥の地、アフガニスタン・カンダハル。“ハイエナ・ロード”と呼ばれる復興道路建設の任務に従事するカナダ軍の兵士たち。狙撃部隊の精鋭ライアンは、ある任務中に敵の総攻撃を受けるも逃げ込んだ村の長老により命を救われる。極秘任務を帯びた情報将校ピートは、ライアンを救った長老が地元の有力者たちにも絶大な影響力を持つ＜伝説の戦士＞であると確信し、ライアンを伴い彼との接触を試みるが…(C) 2015 RHOMBUS HYENA INC./TRIPLE 7 FILMS INC./HYENA PRODUCTIONS INC. ALL RIGHTS RESERVED.,"アクション,軍隊・戦争"
マスター・アンド・コマンダー (字幕版),オスカー賞受賞俳優のラッセル・クロウがH.M.S.サープライズ軍艦艦長“ラッキー”ジャック・オーブリー役で主演するこの映画は、パトリック・オブライアンのベストセラーである歴史冒険小説を映画化したもの。ナポレオン率いるフランス勢力に勇敢に立ち向かうオーブリーの姿を描いた作品だ。オスカー賞候補のピーター・ウィアー監督が描く海洋冒険物語。その他の出演者はポール・ベタニー、ビリー・ボイドやリチャード・ストローなど。,アクション
Under Siege (字幕版),スティーブン・セガール主演のアクション・サスペンス。核兵器搭載のハイテク戦艦USSミズーリが武装テロリスト集団に乗っ取られた。なんとか敵の目から逃れた料理人ライバック。彼はかつて精鋭の兵士として活躍していた男だった。ラインバックは単身、武装テロ集団に命がけの戦いを挑んでいく……。,ドラマ
ロボコップ２ (吹替版),前作の続編。ロボコップは麻薬組織と凶暴化した新型兵器ロボコップ２号と激闘を繰り広げる。,アクション
高慢と偏見とゾンビ(吹替版),"18世紀イギリス、謎のウィルスが蔓延、感染したものはゾンビとなって人々を襲っていた。片田舎で暮らすベネット家の5人姉妹は、裕福な人との結婚を夢見ながら得意のカンフーでゾンビと戦う日々を送っていた。そんなある日、屋敷の隣に、大富豪の騎士ダーシーが引っ越してきた。狂気乱舞する姉妹だったが、次女エリザベスは、初対面でみせた彼の高慢な態度に嫌悪感を抱いていた。だが、人類とゾンビの最終戦争が勃発し、共に戦うことになった二人は、互いの偏見に徐々に気づきはじめ、そして―。(C)2016 PPZ Holdings, LLC","アクション,ホラー,コメディー,ロマンス"
桜田門外ノ変,水戸藩士の関鉄之介は、妻と息子に別れを告げ、井伊直弼を討つため江戸へと向かう。鉄之介は１8人の襲撃部隊の指揮をとり、井伊の暗殺に成功するが、多くの仲間が犠牲となる。その後、鉄之介は薩摩藩による幕府制圧に参戦すべく京都へと向かうが……。(Ｃ) 2010「桜田門外ノ変」製作委員会,ドラマ
スキップ・トレース(吹替版),"香港警察の刑事ベニー・チャンは9年前、犯罪界の大物を捜査中に相棒ヤンを失った。その一人娘サマンサが詐欺犯罪に巻き込まれ、彼女のためベニーはアメリカ人容疑者コナー・ワッツを追って一路ロシアへ。だが逮捕したコナーはロシアンマフィア、香港マフィアなど複数の組織に追われている厄介な男。ベニーも巻き添えを喰らい一緒に逃げるハメに。さらには行く先々で新たな追っ手を作ってしまうコナー。しかし道中、9年前の事件解決のカギをよりによってコナーが握っていることがわかる。9年前の事件にケリをつけるため、相性最悪なコンビは巨大な悪に立ち向かい・・・ながら逃げる！(C)2015 Dasym Entertainment,LLC and Talent International Fiim Co.,Ltd..All Rights Reserved","アクション,アドベンチャー"
